country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8567160
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,8568404
Germany,Berlin,Mitte,Parkviertel,8568509
Germany,Berlin,Treptow - Köpenick,Alt  Treptow,8572047
Germany,Berlin,Mitte,Wedding Zentrum,8573194
Germany,Berlin,Neukölln,Schillerpromenade,8575274
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8575398
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,8576393
Germany,Berlin,Steglitz - Zehlendorf,Schloßstr.,8576792
Germany,Berlin,Tempelhof - Schöneberg,Friedenau,8576964
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,8579546
Germany,Berlin,Charlottenburg-Wilm.,Heerstrasse,8584461
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8586427
Germany,Berlin,Mitte,Brunnenstr. Süd,8586752
Germany,Berlin,Pankow,Prenzlauer Berg Ost,8588917
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8589516
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8590551
Germany,Berlin,Pankow,Prenzlauer Berg Ost,8590560
Germany,Berlin,Mitte,Wedding Zentrum,8590717
Germany,Berlin,Charlottenburg-Wilm.,Düsseldorfer Straße,8591441
Germany,Berlin,Mitte,Osloer Straße,8591777
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,8592011
Germany,Berlin,Mitte,Wedding Zentrum,8592135
Germany,Berlin,Mitte,Osloer Straße,8599428
Germany,Berlin,Pankow,Pankow Süd,8599489
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8599638
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,8599711
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8601540
Germany,Berlin,Neukölln,Schillerpromenade,8602241
